TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
organization_config,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
organization_config,org_name,varchar,255,NULL,NULL,NO,'My Organization',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
organization_config,org_state_code,varchar,2,NULL,NULL,NO,'DL',,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
organization_config,org_gstin,varchar,15,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
organization_config,org_address,text,65535,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
organization_config,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
organization_config,updated_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),on update current_timestamp(),NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
