TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
gst_rates,id,tinyint,NULL,3,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
gst_rates,cgst,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gst_rates,sgst,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gst_rates,igst,decimal,NULL,5,2,NO,0.00,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
gst_rates,total_rate,decimal,NULL,5,2,YES,NULL,STORED GENERATED,NO,NO,NULL,NULL,NULL,NULL,idx_gst_rates_total,1,BTREE,1
