TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
financial_periods,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
financial_periods,period_name,varchar,50,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
financial_periods,start_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_dates,1,BTREE,1
financial_periods,start_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,unique_period,0,BTREE,1
financial_periods,end_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,idx_dates,1,BTREE,2
financial_periods,end_date,date,NULL,NULL,NULL,NO,NULL,,NO,YES,NULL,NULL,NULL,NULL,unique_period,0,BTREE,2
financial_periods,is_active,tinyint,NULL,3,0,YES,1,,NO,NO,NULL,NULL,NULL,NULL,idx_active,1,BTREE,1
financial_periods,is_closed,tinyint,NULL,3,0,YES,0,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
financial_periods,created_at,timestamp,NULL,NULL,NULL,YES,current_timestamp(),,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
