TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAX_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,IS_PRIMARY_KEY,IS_UNIQUE,FK_REFERENCED_TABLE,FK_REFERENCED_COLUMN,UPDATE_RULE,DELETE_RULE,INDEX_NAME,NON_UNIQUE,INDEX_TYPE,SEQ_IN_INDEX
journal_lines,id,int,NULL,10,0,NO,NULL,auto_increment,YES,NO,NULL,NULL,NULL,NULL,PRIMARY,0,BTREE,1
journal_lines,entry_id,int,NULL,10,0,NO,NULL,,NO,NO,journal_entries,id,RESTRICT,CASCADE,journal_id,1,BTREE,1
journal_lines,entry_id,int,NULL,10,0,NO,NULL,,NO,NO,journal_entries,id,RESTRICT,CASCADE,journal_id,1,BTREE,1
journal_lines,account_type,enum,6,NULL,NULL,NO,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_lines,party_id,int,NULL,10,0,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_lines,account_code,varchar,100,NULL,NULL,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_lines,debit_amount,decimal,NULL,12,2,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
journal_lines,credit_amount,decimal,NULL,12,2,YES,NULL,,NO,NO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
